SCHUL_RDNMA,SCHUL_NM,LTTUD,LGTUD,least_dis,least_center
서울특별시 중랑구 양원역로 50,송곡고등학교,37.605846,127.10646,0.851890899118931,망우
서울특별시 중랑구 양원역로 67,송곡여자고등학교,37.6,127.1,0.16523832498890736,망우
서울특별시 동작구 여의대방로10길 73,수도여자고등학교,37.493385,126.91541,0.2702067166488979,동작
서울특별시 노원구 동일로245길 143,수락고등학교,37.6,127.0,1.3925846021986186,연건
서울특별시 강남구 남부순환로 2807,숙명여자고등학교,37.491474,127.05261,1.1636524652364122,개포
서울특별시 마포구 숭문길 99,숭문고등학교,37.550888,126.94577,0.6122867710713792,염리
서울특별시 은평구 은평터널로7길 6,숭실고등학교,37.592873,126.902405,1.2243437931980266,역촌
서울특별시 동작구 여의대방로36길 79,숭의여자고등학교,37.507362,126.929245,0.5566808699165107,상도
서울특별시 용산구 청파로 263,신광여자고등학교,37.5429,126.96945,0.630737986632128,한강로
서울특별시 관악구 문성로 119,신림고등학교,37.5,126.9,0.48563650252717816,대림
서울특별시 양천구 안양천로 739,신목고등학교,37.512764,126.87361,0.9196270469640973,신도림
서울특별시 강북구 솔매로49길 20,신일고등학교,37.62819,127.027725,0.5505874989067887,미아
서울특별시 서초구 남부순환로346길 9,양재고등학교,37.48242,127.03208,0.6245273594433471,서초
서울특별시 양천구 안양천로 1039,양정고등학교,37.534866,126.88698,0.65108435367835,목동
서울특별시 양천구 신정로14길 13,양천고등학교,37.508667,126.84573,0.28177174373764285,신트리
서울특별시 양천구 목동동로2길 68,목동고등학교,37.509216,126.8602,0.6583551408395008,고척
서울 서초구 동산로13길 35,언남고등학교,37.472332,127.04301,0.3095019204082077,양재
서울특별시 영등포구 국제금융로7길 37,여의도고등학교,37.52505,126.93422,0.8696340204672754,여의도
서울특별시 영등포구 국제금융로7가길 13,여의도여자고등학교,37.52289,126.93509,0.8773479700168557,여의도
서울특별시 노원구 월계로45가길 9,염광고등학교,37.62842,127.04953,0.7639609695145063,월계
서울특별시 강남구 선릉로 742,영동고등학교,37.520184,127.04335,0.725450452289228,영동
서울특별시 송파구 석촌호수로 93,영동일고등학교,37.510002,127.08987,0.4827787360546995,잠실
서울특별시 동작구 등용로8길 5,영등포고등학교,37.508442,126.933945,0.8011552415636846,상도
서울특별시 영등포구 영등포로62길 13,영등포여자고등학교,37.51539,126.91535,0.8299350626543013,신길
서울특별시 관악구 청룡16길 25,영락고등학교,37.476284,126.94421,0.7316933273462916,봉천
서울특별시 양천구 목동로11길 46,서울영상고등학교,37.523304,126.8603,1.0442259954483273,양천_신정
서울 영등포구 대방천로14길 18,영신고등학교,37.4981,126.90974,0.6333506978965375,대림
서울특별시 노원구 중계로16나길 13,영신여자고등학교,37.652454,127.083275,1.307086150644663,상계
서울특별시 강서구 등촌로51가길 26,영일고등학교,37.547287,126.86206,0.7645812974801501,등촌
서울특별시 송파구 올림픽로 565,영파여자고등학교,37.532135,127.11982,0.643215031312959,성내
서울특별시 강북구 도봉로13가길 19,영훈고등학교,37.61351,127.02779,0.4397268222216027,미아
서울특별시 은평구 연서로 117,예일여자고등학교,37.610813,126.915344,0.649290974345211,역촌
서울특별시 송파구 중대로 247,오금고등학교,37.50425,127.12933,1.3173236042559096,방이
서울특별시 구로구 오리로21길 2,오류고등학교,37.500202,126.82824,0.29982974116904443,수궁
서울특별시 용산구 보광로7길 17,오산고등학교,37.523514,126.99961,0.542116783409475,서빙고
서울특별시 성북구 고려대로17가길 46,용문고등학교,37.587933,127.0252,0.7839881062046495,숭인
서울특별시 용산구 두텁바위로 60,용산고등학교,37.545864,126.98033,0.3402652970138989,후암
서울특별시 노원구 동일로 1461,용화여자고등학교,37.659134,127.05828,1.4085756621780279,수락
서울특별시 구로구 부일로 917,우신고등학교,37.495323,126.826706,0.3217747183495356,수궁
서울특별시 강남구 남부순환로359길 36,은광여자고등학교,37.4,127.0,1.0393691120686064,백운
서울특별시 은평구 진관2로 57-57,은평메디텍고등학교,37.635284,126.929184,1.1185712725891213,진관
서울특별시 중구 정동길,이화여자고등학교,37.5657,126.97056,0.3898657028618991,미근
서울특별시 서대문구 성산로 560,이화여자대학교사범대학부속이화금란고등학교,37.566364,126.94766,1.375309442029492,서대문_연희
서울특별시 서대문구 경기대로 65,인창고등학교,37.565414,126.96349,0.39848092017396053,미근
서울특별시 관악구 인헌9길 74,인헌고등학교,37.47231,126.97048,1.7996014418554982,동작_백운
서울특별시 광진구 뚝섬로37길 28,자양고등학교,37.535755,127.07299,1.1562386639037605,능동
서울특별시 송파구 잠실로 24,잠신고등학교,37.514706,127.088264,0.7984427579346002,잠실
서울특별시 송파구 올림픽로33길 71,잠실고등학교,37.51963,127.10794,1.6855896912663924,가락
서울특별시 송파구 송파대로38길 8,잠실여자고등학교,37.502323,127.1131,0.7147058856156385,가락
서울특별시 중구 동호로15길 93,장충고등학교,37.55268,127.00606,0.3990597295971989,신당
서울특별시 영등포구 영등포로64길 26,장훈고등학교,37.513344,126.91623,0.6913813207736337,신길
서울특별시 노원구 덕릉로82길 64,재현고등학교,37.66014,127.07985,0.9760758184206488,상계
서울특별시 송파구 올림픽로4길 16,정신여자고등학교,37.508823,127.07191,0.5725460226696476,강남_삼성
서울특별시 도봉구 노해로49길 69,정의여자고등학교,37.652905,127.03104,0.5652032246287185,쌍문
서울특별시 용산구 이촌로84길 34,중경고등학교,37.51768,126.97564,1.1908890622973545,한강로
서울특별시 강남구 일원로 7,중동고등학교,37.493713,127.08091,1.4517131263320686,수서
서울특별시 강남구 일원로14길 22,중산고등학교,37.485718,127.081436,1.2693897210913407,수서
서울특별시 종로구 창덕궁길 164,중앙고등학교,37.584026,126.98688,1.0408918655861379,종로
서울특별시 강남구 선릉로 207,중앙대학교사범대학부속고등학교,37.49191,127.05211,1.129557880868139,역삼
서울특별시 서대문구 북아현로11가길 7,중앙여자고등학교,37.562695,126.952705,1.1540327136065898,공덕
서울특별시 중랑구 봉화산로27길 62,중화고등학교,37.604897,127.083206,0.52294435137327,중화
서울특별시 양천구 목동로 170,진명여자고등학교,37.524048,126.86585,0.8316315507292343,양천
서울특별시 강남구 선릉로85길 27,진선여자고등학교,37.501827,127.046906,0.5868658028054989,역삼
서울특별시 송파구 양재대로 1240,창덕여자고등학교,37.516243,127.140274,0.47515353482245926,방이
서울특별시 도봉구 노해로62길 7,창동고등학교,37.651035,127.03882,0.6167537669442925,창동
서울특별시 강북구 월계로 61,창문여자고등학교,37.6,127.0,1.3925846021986186,연건
서울특별시 강남구 압구정로 419,청담고등학교,37.528,127.0437,0.8485685823932181,영동
서울특별시 동대문구 왕산로 303,청량고등학교,37.588886,127.051315,0.1601165333664141,청량리
서울특별시 노원구 한글비석로 506,청원고등학교,37.6667,127.06308,1.1928911459684233,수락
서울특별시 노원구 한글비석로 506,청원여자고등학교,37.66614,127.06123,1.0947035817999866,수락
서울특별시 은평구 가좌로5길 5,충암고등학교,37.584812,126.921295,0.9313031646623379,북가좌
서울특별시 중랑구 신내로23길 36,태릉고등학교,37.619164,127.085556,0.5404437959512315,공릉
서울특별시 강남구 자곡로 152,풍문고등학교,37.47133,127.099945,1.2065279620769562,수서
서울특별시 양천구 목동서로 15,한가람고등학교,37.537464,126.88401,0.35827473293594775,목동
서울특별시 영등포구 선유로55길 22,한강미디어고등학교,37.53929,126.89726,0.3320823380820148,당산
서울특별시 강서구 등촌로13길 110,한광고등학교,37.538845,126.85794,1.3150975573746604,등촌
서울특별시 노원구 화랑로 815,한국삼육고등학교,37.64336,127.10885,2.339355434951663,별내
서울특별시 강서구 양천로11길 47,한서고등학교,37.57479,126.80814,0.5558457479829442,개화
서울특별시 서대문구 북아현로1길 24,한성고등학교,37.559837,126.95451,0.8774265529799153,공덕
서울특별시 성북구 삼선교로16길 117,한성여자고등학교,37.583202,127.01177,0.5998220440501131,돈암
서울특별시 성동구 마조로 42,한양대학교사범대학부속고등학교,37.56192,127.04233,0.6317660530740682,행당(구 송정)
서울특별시 강동구 동남로 832,한영고등학교,37.548916,127.1582,0.8966987967989413,강동_고덕
서울특별시 강남구 압구정로 127,현대고등학교,37.5,127.0,0.902675645364971,반포
서울특별시 노원구 노원로16길 2,혜성여자고등학교,37.640785,127.0735,0.3157533684410202,하계
서울특별시 중랑구 봉우재로58길 39,혜원여자고등학교,37.59328,127.097046,0.4924071017012619,망우
서울특별시 강북구 인수봉로 127,혜화여자고등학교,37.631237,127.01305,0.7550288924020969,우이
서울특별시 성북구 성북로14가길 23,홍익대학교사범대학부속고등학교,37.594337,127.00386,1.0236932161569503,연건
서울특별시 마포구 성미산로 51,홍익대학교사범대학부속여자고등학교,37.560173,126.91268,0.7329927278175826,서교
서울특별시 강서구 강서로45길 69,화곡고등학교,37.54805,126.831696,0.7489000167717715,발산
서울특별시 중구 환일길 47,환일고등학교,37.553825,126.96221,0.3707431813609163,공덕
서울특별시 동대문구 한천로 247,휘경여자고등학교,37.58386,127.06736,0.5184087243427394,휘경
서울특별시 강남구 역삼로 541,휘문고등학교,37.505108,127.06142,0.6949666737470853,강남_삼성
서울특별시 종로구 혜화로 63,서울과학고등학교,37.591557,126.99847,0.8948916325148174,연건
서울특별시 서대문구 통일로 279-79,한성과학고등학교,37.575436,126.95237,1.6660665884198107,홍은
서울특별시 광진구 용마산로22길 26,대원외국어고등학교,37.563652,127.08913,0.35335838575260603,중곡
서울특별시 성북구 서경로 116,대일외국어고등학교,37.613304,127.014175,0.4631234641003385,삼각산
서울특별시 강서구 강서로47길 34-10,명덕외국어고등학교,37.554066,126.83343,0.3899675114222929,발산
서울특별시 도봉구 덕릉로66길 22,서울외국어고등학교,37.64578,127.05151,0.8678264580826247,창동
서울특별시 중구 통일로4길 30,이화여자외국어고등학교,37.56558,126.96964,0.2877818594148613,미근
서울특별시 강동구 동남로 832,한영외국어고등학교,37.548157,127.15731,0.85619290191319,강동_고덕
서울특별시 강남구 광평로20길 63,서울로봇고등학교,37.480682,127.08433,0.9886407733103545,수서
서울특별시 강서구 방화대로47길 9,강서공업고등학교,37.576035,126.816185,0.3275768814951596,방화
서울특별시 노원구 공릉로 264,경기기계공업고등학교,37.63224,127.07493,0.5858801155760929,하계
서울특별시 노원구 광운로1길 24,광운전자공업고등학교,37.61924,127.05654,0.30678826754981153,장위
서울특별시 강남구 도곡로64길 21,단국대학교부속소프트웨어고등학교,37.495617,127.05777,1.4076327772420039,강남_삼성
서울특별시 구로구 서해안로21길 5-12,덕일전자공업고등학교,37.490982,126.8388,1.0876517464432078,수궁
서울특별시 마포구 백범로 139,서울디자인고등학교,37.54669,126.94783,0.4158304601580331,염리
서울특별시 강서구 허준로 50,동양고등학교,37.56902,126.84708,1.4601351724957383,발산
서울특별시 성동구 동호로5길 131,서울방송고등학교,37.54777,127.01103,0.37793692990894223,신당
서울특별시 강동구 천호대로219길 61,상일미디어고등학교,37.5,127.1,0.8375025612979335,잠실
서울특별시 노원구 덕릉로82길 54,미래산업과학고등학교,37.65878,127.078445,0.7985164120832028,상계
서울특별시 동작구 대방동1길 46,서울공업고등학교,37.5019,126.92236,0.570072992446601,신길
서울특별시 용산구 회나무로12길 27,서울디지텍고등학교,37.538967,126.990616,0.6536239555937426,이태원
서울특별시 성북구 종암로 196,서울도시과학기술고등학교,37.60781,127.03304,0.3884810471354452,종암
서울특별시 중구 다산로 290,성동공업고등학교,37.569363,127.01728,0.36779514003584024,무학
서울특별시 성동구 뚝섬로 365,성수공업고등학교,37.54054,127.0513,1.0641773046116731,성수
서울특별시 송파구 양산로 21,송파공업고등학교,37.491474,127.142525,0.5612049878706069,마천
서울특별시 강남구 개포로 410,수도전기공업고등학교,37.48494,127.064476,1.718482316533271,강남_삼성
서울특별시 은평구 은평로6길 16,신진과학기술고등학교,37.598713,126.91884,1.00069070877116,역촌
서울특별시 강서구 허준로5길 15,영등포공업고등학교,37.569836,126.85003,1.3557820387515531,등촌
서울특별시 용산구 서빙고로 24,용산공업고등학교,37.52434,126.967354,0.7996552945085548,한강로
서울특별시 구로구 경인로 8,유한공업고등학교,37.48828,126.82397,0.8171642707810614,수궁
서울특별시 노원구 섬밭로 299,서울아이티고등학교,37.642418,127.06245,1.0024670966660576,하계
